key,source,target
/63E7E67946CEF4D3E754CAB8C027670D,"   . . .",
/3C8A731D42BDD3D762EBD6A7EC214ADA," {0} ",
/DB5B872C419D2B622655018813AFCBBF," {log} ",
/0BB4C1A1486297BDD5866A9D2DF2A958,!,
/26B8713448CE68DE600BDC81429BD16C,!,
/13F688114CBFE54FEC7A179AD8666233,"""Seawall""",
/5FC8BE0D4E83F9A29DC4D5AC5B57A863,*** Welcome to Vancouver Public Terminal ***,
/30C4DBB54C962FD891B3F58F6205DB58,0,
/6252476E4653C099BA5821A9E4EF8282,0,
/A7FB1F03415919898CB8BE83FCBBA4F3,0,
/314DEFF749E80889619455A74A908F52,1,
/44A304A146BD12791288F5BD7E9049ED,1,
/D71D793246780000EDE8C38A2BABB7C5,1,
/D8D44B14451CD0031D16BAAEA211CC16,1,
/048719714785B398034D2E9FD6E08E50,2,
/29CFFDCA49FAEB34B9BDC4B83FC980C0,2,
/93E7EBBA4DAE4F2F499847936113FAE1,2,
/EE781552452F285016486BAC163DE74B,22:45:21,
/0FC2F1C84F73B383AC3E3BBDBB8E84B9,3,
/2A360D3540BCA2E76FD33394C02B9A4E,3,
/913E377B4E843CEF1E8F0BB6F0A67047,3,
/CFDF1E364ED6458C5B6B7D924B7C01A5,3,
/01D8C6A54D029D7C18FB21B2FB20E8CA,30 кадров/с,
/3A54018847DE32AE7A68B9B0111992C5,4,
/7D912B5C4F721280CC015EA9C32E5680,4,
/9B4194E9450F28533183CA8E64103F06,4,
/500C934A47F972E513B6E3A24992158F,5,
/8D91DCE64AA7BC80A09A2EA36A26E2DE,5,
/B5EE6CDD4BBB5371AF1C87A5279E9326,5,
/8835AEE94DB6BD783D92999378A5BC68,51,
/F7EAD3794ED19E3BF02AC38FB4E8D849,513842,
/E736D7954F075720D45652BFFA3C51D8,6,
/E542E75048FE7059DD99289B1A4DFB55,60 кадров/с,
/0B99D3B443AB4F0E618A07977D47E3A1,7,
/EEEDAE2448C4A01D5681B7AADFCA8833,8,
/FBA3B1044BDD5221655E9EBF1821EA59,9,
/6CBDE1A844E7FA7B2A29BA999AC2C64D,АКТ I,
/B00DF5F5423A3AA152307E9F704E0784,АКТ I,
/E3A26A7147138BF30255318DE46FD78B,АКТ II,
/DA95260F41328707DD503F932BF16D75,АКТ III,
/60877A4F412AAB90776D2DBAD600458E,АКТ IV,
/C0BAF4764ACDC409AB184AA493A1EFC5,АКТ V,
/9E63DA6F414F2A211A71C4847440D867,ЗВУК,
/8091A0D9417C6E062F744382B659F56A,Add all items,
/F6D69A4245BAF0A0A346BB8BB4571CBA,Add all logs,
/6C7A475A4A2E85F87071569FEDF11D57,Add item,
/6A90ABEF4A8CCE1805F588A468A913EA,Add log,
/88CCAEE2443EF32FA8EF65ABD57EFF2F,Add objective,
/DE34F0B04EAB7722516F698B3FD834A1,"Adum YMS
Aleksander P.
Aleksandra & Pavel Aliev
Aleksei Kozlov
Alexander Dashevskiy
Alex Bertram-Powell
Alexia Christofi
Alexis Garavaryan
Alex Nicholson
Andrei Barkov
Anna Bo
Astrid Mie
Beckie Frary
Bertine van Hövell
Brian Woodruff
Brook Jensen
Callum Underwood
Cal Ward
Casey Explosion
Charlie Kaufman
Chris Priestman
Dan Harmon
Daniel Finke
Danielle Woodford
Danny O’Dwyer
Dara Zappfa
Dave Gilbert",
/7BDEA07C4748BA1A571FA7BD8DEB361E,Aleksandra Korabelnikova,
/E7F096D44E1908BB39E912AF472AA1AD,Aleksei Kozlov,
/3701D9EB455EDC4937F4128B6D8008AB,Alex Grade,
/594D41E24293E671B3629C8DE457CF2E,Alex Penney,
/F99A5D364F299C28DBA35BBE1C7A281A,Alexander Kolchin,
/634CAE8B47ED2DCC14F96ABE31A68FBE,Alexander Preymak,
/DFF820C74CBE11E342E46A9CEF87D30A,"All material is protected by copyright laws of all countries thoughout the world.

The Story, all nymes, characters and incidents portrayed in this game are fictious. No identification with actual person and products is intended or should be inferred.",
/6A51C158482B9FD03C51CC898DDDBA20,Фон,
/6748F77746510361D0C92F9B6AEA75B4,Anastasia (Sonya) Prileptseva,
/D6E653D54BCB974DE9B7E6B22DC68BB4,And the name of your partner     stamped just underneath it! T-O-L-Y!,
/5A92E68E46E6BA36FF169C9ACD61E89C,Antonina Shipulina,
/55790D6345195E164ADC50B32014136D,"Anyway, do your thing and get lost.",
/90B012474A76C840FBB2AE862398D297,Применить,
/DFC8208048EB4E8D79B1388BD103D20F,Вы уверены что хотите выйти?,
/0990D4D54D8198535455C689AB68FE7A,"Вы уверены что хотите начать новую игру?
Текущий процесс будет потерян",
/1808B83C4AC9E7420809BA96001BF5D0,Arina Bedrina,
/0F96E1FB420AEEF8476A84BD92F08F76,Arooj Aftab,
/B907C5C849CCD5301E8062B0FE669AE1,Artem Pisarev,
/4B04B079441167496712B6B27370B6A8,"Asher
Big Gay Skeleton
Cinogard
Cockatrice
Crossover
Devi 
Dubwolfer
Duck
Guse",
/D51E1A934B609E54B5A9A68EA78139DA,"At any time during the game, you can switch between
the primary language and the secondary language.",
/EDD40AEA43692F893FF918A00E3FD7E0,AudioSettings,
/4FC8D13C40874B73D5B710A3A666764A,Auto-save Feature,
/7BD512014FF72B4567FD4CAC2E8BD42A,НАЗАД,
/8AFCB2E94CF8B21574075CB218A66EAE,Назад,
/9E87224B495982A270C7AB9170F55DED,"Because best friends don’t need to tip, Anatoly. It’d be impolite.",
/90D406694968A7480E6FC190C387FC68,"Best friend? Sure! But if you’re my best customer, how come you don’t tip?",
/3EEFC5594EF10984088A7B8D12658807,Bla out! Bla out! Bla out! Bla out! Bla out! Bla out!,
/67A3CB3342C201E6179CEBBB4228857A,Bla-bla bla.....,
/9FD117164E45C24004467F9F857E6584,BottomCenter,
/B2C4BB294BCCC3B030895A9498AE547C,BottomLeft,
/427FE8204E0AE996ED52A887197A45B5,BottomRight,
/08C79C2745A9AA4A355E78A78934BE79,"Bye, I'll be back later.",
/8F6B8C5B41890A43DC1E5C9AED641263,"Bye, I'll be back later.",
/8022E6784AE654CA915410A266B630E8,C L A R I S S A,
/909961F949B7AD792CACD1ACE26F6BFA,ЗАКРЫТЬ,
/5AC35BF7416D5D6E665A2891CFB1F3A7,ПРОДОЛЖИТЬ,
/832BFD734589A4EF4C6574825B95818D,ПРОДОЛЖИТЬ,
/AA15496F4C15CB46EDE3E79312961ECF,КОНТРОЛЛЕР,
/498103A94CA7D52FD93C93A9CD5886ED,УПРАВЛЕНИЕ,
/2605C4A243C699B5E11EF8B3060DD79D,CROUCH / STAND,
/00036D7B455D7AF7FE47AFB360E8C7B3,Change Howard to Camera,
/754165B84C52113C96151CBF136DD318,Change Howard to Camera,
/462F0C224F96C8009CEAE4BBF5655D32,Change global time,
/38B20CDC4CA00C3F23648A968FD9BB32,Clear history,
/05AE2594454803F9DABEA199B8021DBA,Закрыть,
/0ECA79074D0C4E1043EA1D994B8EF7E7,Закрыть,
/440E1C1D43EE03780175A69E0EF8275D,Закрыть,
/59BF90574642AF6DA434B79D222FED81,Закрыть,
/5FA1ED8544F9E648EE929189734B4F38,Закрыть,
/6306FCAC4F4069D67EE0E099FD865708,Закрыть,
/805EFB4E480D75E8317F69A6872B9165,Закрыть,
/A1D354B048BE8A3E05E1098E83B54458,Закрыть,
/B56F1CFC48636B09AB93A3A38CF023B1,Закрыть,
/C60CDFAA47EEAA69DEC27E9C92CCE5F6,Закрыть,
/DC968F8843CEE0CB5FFC8E8A173F0A45,Закрыть,
/BFB5E8724056132AC25A4894783F5E9F,Complete objective,
/01C114494E1FBF62C64A8ABAE9C031B5,ControlSettings,
/B94C42CA4E8F9CEC3C42F09EEBFE9E6C,"Crazy. Drop me off at the Science City entrance. Then wait on Granville. ",
/3EEAFC6B4CB5F465FC1238B6AC049602,Crouch / stand,
/A297EC684D4FA13716EA7BB7A8B13ECE,Crouch / stand up 1,
/A42B4801492AC7896C903FB398222194,Current language is,
/A9108D3E481B7980DCB3899D2A366D18,Current language is,
/2BFBCFA44A01F737934484B46F95FEE6,Current node ->,
/FA5544C84C8EFC642EF89EBF9DA21504,"Current node -> ",
